groupname;variablename;x;y
adc_RMS;g_adcRMS[1].adcRMS;46,921;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,923;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,925;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,926;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,928;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,93;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,932;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,933;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,935;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,936;2111,504150390625
adc_RMS;g_adcRMS[1].adcRMS;46,938;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,939;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,941;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,942;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,943;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,945;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,947;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,948;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,95;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,951;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,952;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,954;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,955;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,957;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,958;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,96;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,961;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,963;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,964;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,966;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,967;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,969;2111,564697265625
adc_RMS;g_adcRMS[1].adcRMS;46,97;2111,614990234375
adc_RMS;g_adcRMS[1].adcRMS;46,972;2111,614990234375
adc_RMS;g_adcRMS[2].adcRMS;46,922;316,1567077636719
adc_RMS;g_adcRMS[2].adcRMS;46,924;316,1567077636719
adc_RMS;g_adcRMS[2].adcRMS;46,925;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,927;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,929;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,93;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,932;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,934;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,935;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,937;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,938;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,94;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,941;316,0664978027344
adc_RMS;g_adcRMS[2].adcRMS;46,942;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,944;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,946;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,947;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,949;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,95;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,951;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,953;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,954;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,956;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,957;316,0999450683594
adc_RMS;g_adcRMS[2].adcRMS;46,959;315,5084533691406
adc_RMS;g_adcRMS[2].adcRMS;46,96;315,5084533691406
adc_RMS;g_adcRMS[2].adcRMS;46,961;315,5084533691406
adc_RMS;g_adcRMS[2].adcRMS;46,963;315,5084533691406
adc_RMS;g_adcRMS[2].adcRMS;46,965;315,5084533691406
adc_RMS;g_adcRMS[2].adcRMS;46,966;315,5084533691406
adc_RMS;g_adcRMS[2].adcRMS;46,968;315,5084533691406
